,School_ID,Short_Name,Long_Name,School_Type,Primary_Category,Progress_Report_Year,Student_Growth_Rating,Student_Attainment_Rating,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Suspensions_Per_100_Students_Year_2_Pct,Student_Attendance_Year_1_Pct,Student_Attendance_Year_2_Pct,One_Year_Dropout_Rate_Year_1_Pct,One_Year_Dropout_Rate_Year_2_Pct,Attainment_ACT_Grade_11_Pct,Attainment_ACT_Grade_11_Lbl,Average ACT Reading,Average ACT Math,Average ACT Science,Average ACT English,Composite ACT Score,Graduation_4_Year_School_Pct_Year_2,Graduation_4_Year_CPS_Pct_Year_2,Graduation_4_Year_School_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,Graduation_5_Year_School_Pct_Year_2,Graduation_5_Year_CPS_Pct_Year_2,Graduation_5_Year_School_Pct_Year_1,Graduation_5_Year_CPS_Pct_Year_1,College_Enrollment_School_Pct_Year_2,College_Enrollment_CPS_Pct_Year_2,Location
131,609678,JONES HS,William Jones College Preparatory High School,Selective enrollment,HS,2016,FAR ABOVE AVERAGE,FAR ABOVE AVERAGE,VERY STRONG,VERY STRONG,VERY STRONG,NEUTRAL,NEUTRAL,STRONG,0.6,1.1,93.8,93.2,0.8,0.7,97,97th,26.8,25.7,25.4,26.9,26.2,97.6,73.5,90.4,68.2,91.8,73.5,92,69.9,87.3,57.9,"700 S STATE ST
Chicago, Illinois 60605
(41.873066, -87.627675)"
460,609764,JUAREZ HS,Benito Juarez Community Academy High School,Neighborhood,HS,2016,BELOW AVERAGE,BELOW AVERAGE,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,STRONG,WEAK,15.2,12.6,89.4,89.7,3.7,4.1,19,19th,17.0,16.4,16.9,15.7,16.5,76,73.5,74.5,68.2,80.9,73.5,80.8,69.9,50.6,57.9,"1450 W CERMAK RD
Chicago, Illinois 60608
(41.852667, -87.663732)"
313,609762,JULIAN HS,Percy L Julian High School,Neighborhood,HS,2016,BELOW AVERAGE,FAR BELOW AVERAGE,VERY STRONG,NEUTRAL,STRONG,STRONG,VERY STRONG,WEAK,51.3,41.8,79.2,83.1,4.6,2.6,7,7th,14.5,15.4,15.4,13.3,14.7,65.6,73.5,68.6,68.2,74.4,73.5,71.3,69.9,40.4,57.9,"10330 S ELIZABETH ST
Chicago, Illinois 60643
(41.705859, -87.653749)"
434,609715,KELLY HS,Thomas Kelly High School,Neighborhood,HS,2016,AVERAGE,BELOW AVERAGE,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,6.3,2.4,91.5,90.4,4.2,5,27,27th,16.6,18.0,17.2,16.7,17.1,72.4,73.5,71.9,68.2,77.8,73.5,72.3,69.9,55.1,57.9,"4136 S CALIFORNIA AVE
Chicago, Illinois 60632
(41.818729, -87.694639)"
481,609716,KELVYN PARK HS,Kelvyn Park High School,Neighborhood,HS,2016,BELOW AVERAGE,BELOW AVERAGE,STRONG,WEAK,NEUTRAL,STRONG,STRONG,WEAK,40.4,41.7,81.6,82.1,8.6,6.8,11,11th,15.1,15.8,15.6,13.5,15.0,60.8,73.5,59.4,68.2,69.8,73.5,52.2,69.9,36.2,57.9,"4343 W WRIGHTWOOD AVE
Chicago, Illinois 60639
(41.927918, -87.735999)"
227,609718,KENNEDY HS,John F Kennedy High School,Neighborhood,HS,2016,AVERAGE,BELOW AVERAGE,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,16.5,19.8,88.7,89.9,6.2,6.9,35,35th,18.2,18.2,18.3,17.6,18.1,69.2,73.5,62.7,68.2,68.8,73.5,65.8,69.9,59.5,57.9,"6325 W 56TH ST
Chicago, Illinois 60638
(41.789961, -87.78084)"
69,609746,KENWOOD HS,Kenwood Academy High School,Neighborhood,HS,2016,ABOVE AVERAGE,AVERAGE,VERY STRONG,STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,21,20.9,91.7,93.2,2.1,2,45,45th,18.3,19.4,19.3,19.9,19.2,81.2,73.5,76.1,68.2,84.6,73.5,79.7,69.9,78.3,57.9,"5015 S BLACKSTONE AVE
Chicago, Illinois 60615
(41.803772, -87.590421)"
488,609751,KING HS,Dr  Martin Luther King  Jr  College Prep HS,Selective enrollment,HS,2016,AVERAGE,AVERAGE,NEUTRAL,NEUTRAL,VERY STRONG,WEAK,WEAK,WEAK,4.4,1.8,92.8,92.8,1.9,1.4,60,60th,20.5,19.7,20.8,21.3,20.6,86.8,73.5,80.7,68.2,89.4,73.5,88.2,69.9,82.1,57.9,"4445 S DREXEL BLVD
Chicago, Illinois 60653
(41.813675, -87.603874)"
535,609719,LAKE VIEW HS,Lake View High School,Neighborhood,HS,2016,BELOW AVERAGE,BELOW AVERAGE,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,25.7,49,89.7,88.6,3.4,2.4,27,27th,17.7,17.7,18.1,16.6,17.5,83.8,73.5,86.7,68.2,91.2,73.5,91.4,69.9,65.7,57.9,"4015 N ASHLAND AVE
Chicago, Illinois 60613
(41.954764, -87.668953)"
249,609720,LANE TECH HS,Albert G Lane Technical High School,Selective enrollment,HS,2016,ABOVE AVERAGE,FAR ABOVE AVERAGE,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,NEUTRAL,NEUTRAL,0,1.4,94.2,94.1,1.9,1.7,96,96th,26.1,25.3,24.9,26.0,25.6,93.7,73.5,94.5,68.2,95.9,73.5,94.8,69.9,85,57.9,"2501 W ADDISON ST
Chicago, Illinois 60618
(41.946645, -87.691013)"
491,609738,LINCOLN PARK HS,Lincoln Park High School,Neighborhood,HS,2016,ABOVE AVERAGE,ABOVE AVERAGE,NOT ENOUGH DATA,NEUTRAL,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,3.2,5.2,90.1,90.5,1.8,1.8,78,78th,22.6,22.3,22.1,22.2,22.3,86.8,73.5,82.9,68.2,87.7,73.5,83.6,69.9,79.6,57.9,"2001 N ORCHARD ST
Chicago, Illinois 60614
(41.918268, -87.646009)"
431,610391,LINDBLOM HS,Robert Lindblom Math & Science Academy HS,Selective enrollment,HS,2016,FAR ABOVE AVERAGE,ABOVE AVERAGE,VERY STRONG,VERY STRONG,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,1.8,2.6,93.3,93.2,0.1,1.1,83,83rd,23.9,22.2,22.5,23.1,22.9,87.6,73.5,84.4,68.2,89.2,73.5,90.8,69.9,83.6,57.9,"6130 S WOLCOTT AVE
Chicago, Illinois 60636
(41.782041, -87.671662)"
492,609722,MANLEY HS,Manley Career Academy High School,Neighborhood,HS,2016,FAR BELOW AVERAGE,FAR BELOW AVERAGE,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,74.2,69.9,85.3,80.6,12.5,18.4,5,5th,13.8,14.7,15.1,12.7,14.1,40.2,73.5,54.4,68.2,57.9,73.5,50.7,69.9,35.9,57.9,"2935 W POLK ST
Chicago, Illinois 60612
(41.870939, -87.699896)"
659,609723,MARSHALL HS,John Marshall Metropolitan High School,Neighborhood,HS,2016,AVERAGE,BELOW AVERAGE,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,77.6,67.6,86.4,89.3,8.2,5.2,13,13th,15.6,16.1,16.8,14.8,15.8,41.2,73.5,51.9,68.2,57.7,73.5,39.7,69.9,43.8,57.9,"3250 W ADAMS ST
Chicago, Illinois 60624
(41.878444, -87.70805)"
544,609724,MATHER HS,Stephen T Mather High School,Neighborhood,HS,2016,AVERAGE,BELOW AVERAGE,STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,WEAK,6.7,8,90.8,89.7,3.7,6.1,30,30th,17.4,18.2,18.1,15.9,17.4,72.8,73.5,66.3,68.2,72.3,73.5,69.1,69.9,66.3,57.9,"5835 N LINCOLN AVE
Chicago, Illinois 60659
(41.987589, -87.702496)"
363,609725,MORGAN PARK HS,Morgan Park High School,Neighborhood,HS,2016,BELOW AVERAGE,BELOW AVERAGE,STRONG,WEAK,STRONG,NEUTRAL,STRONG,VERY WEAK,29.8,26.2,85.7,88.4,6.6,7.3,25,25th,17.3,17.4,17.7,16.8,17.3,77.3,73.5,76.2,68.2,79.6,73.5,72,69.9,66.8,57.9,"1744 W PRYOR AVE
Chicago, Illinois 60643
(41.692035, -87.665658)"
262,610385,MULTICULTURAL HS,Multicultural Academy of Scholarship,Small,HS,2016,BELOW AVERAGE,FAR BELOW AVERAGE,VERY STRONG,STRONG,STRONG,STRONG,VERY STRONG,WEAK,9.5,6.8,88.9,86,3.7,4.2,9,9th,14.1,15.2,15.5,13.6,14.6,80,73.5,82.1,68.2,80.9,73.5,72.2,69.9,41,57.9,"3120 S KOSTNER AVE
Chicago, Illinois 60623
(41.835282, -87.735283)"
220,609691,NORTH-GRAND HS,North-Grand High School,Neighborhood,HS,2016,AVERAGE,BELOW AVERAGE,STRONG,STRONG,STRONG,VERY STRONG,VERY STRONG,WEAK,28.4,28.7,87.9,89.3,4.3,3.2,16,16th,15.1,16.3,17.3,14.8,15.9,75.9,73.5,69.1,68.2,74.3,73.5,76.5,69.9,42.6,57.9,"4338 W WABANSIA AVE
Chicago, Illinois 60639
(41.911674, -87.735238)"
109,609749,NORTHSIDE PREP HS,Northside College Preparatory High School,Selective enrollment,HS,2016,FAR ABOVE AVERAGE,FAR ABOVE AVERAGE,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,VERY STRONG,STRONG,0.7,1.2,94.4,93.5,0.4,0.1,99,99th,30.2,28.9,28.7,30.1,29.5,96.6,73.5,96.3,68.2,97.8,73.5,97,69.9,93.4,57.9,"5501 N KEDZIE AVE
Chicago, Illinois 60625
(41.981315, -87.708708)"
244,610529,OGDEN HS,Ogden International High School,Neighborhood,HS,2016,ABOVE AVERAGE,AVERAGE,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,1.7,3,92.4,93.9,1.2,2.1,51,51st,20.3,18.5,20.1,19.8,19.7,90.4,73.5,77.6,68.2,83.6,73.5,76.9,69.9,72.6,57.9,"1250 W ERIE ST
Chicago, Illinois 60642
(41.893548, -87.659405)"
279,610389,ORR HS,Orr Academy High School,Neighborhood,HS,2016,FAR BELOW AVERAGE,FAR BELOW AVERAGE,STRONG,NEUTRAL,STRONG,STRONG,STRONG,WEAK,2.9,4.1,76.9,74.3,25.1,19,6,6th,13.7,15.1,15.0,12.8,14.2,40.4,73.5,35.4,68.2,39,73.5,49.3,69.9,45.3,57.9,"730 N PULASKI RD
Chicago, Illinois 60624
(41.894449, -87.726166)"
571,609680,PAYTON HS,Walter Payton College Preparatory High School,Selective enrollment,HS,2016,FAR ABOVE AVERAGE,FAR ABOVE AVERAGE,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,STRONG,STRONG,1,2.5,92.9,92.9,0.4,0.7,99,99th,30.1,29.2,28.9,30.3,29.6,97,73.5,90.2,68.2,95.3,73.5,85.1,69.9,87.7,57.9,"1034 N WELLS ST
Chicago, Illinois 60610
(41.901575, -87.635385)"
121,609727,PHILLIPS HS,Wendell Phillips Academy High School,Neighborhood,HS,2016,BELOW AVERAGE,BELOW AVERAGE,WEAK,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,188.7,132.7,75.6,81.1,10.1,10.3,10,10th,14.6,15.6,15.9,14.6,15.2,57.9,73.5,49.1,68.2,57.9,73.5,45.9,69.9,55.4,57.9,"244 E PERSHING RD
Chicago, Illinois 60653
(41.82388, -87.619796)"
98,610304,PHOENIX MILITARY HS,Phoenix Military Academy High School,Military academy,HS,2016,ABOVE AVERAGE,AVERAGE,VERY STRONG,STRONG,VERY STRONG,STRONG,STRONG,WEAK,3.5,10.4,95.6,95.3,0.8,0.2,43,43rd,18.8,18.6,19.1,19.8,19.0,89.8,73.5,89.2,68.2,91.5,73.5,84.9,69.9,45.2,57.9,"145 S CAMPBELL AVE
Chicago, Illinois 60612
(41.879118, -87.68696)"
398,609679,PROSSER HS,Charles Allen Prosser Career Academy High School,Career academy,HS,2016,AVERAGE,BELOW AVERAGE,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,13.9,10.1,88.3,88.8,2.3,0.7,34,34th,18.3,17.8,18.9,17.5,18.1,85.6,73.5,85.8,68.2,88.2,73.5,83.5,69.9,66.4,57.9,"2148 N LONG AVE
Chicago, Illinois 60639
(41.920059, -87.761048)"
473,610334,RABY HS,Al Raby High School,Small,HS,2016,FAR BELOW AVERAGE,FAR BELOW AVERAGE,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,61.9,56.2,86.9,85.2,3.8,3.2,7,7th,14.6,15.2,15.1,13.0,14.5,63.3,73.5,66.7,68.2,73.4,73.5,61.9,69.9,51.1,57.9,"3545 W FULTON BLVD
Chicago, Illinois 60624
(41.88621, -87.715423)"
350,609682,RICHARDS HS,Ellen H Richards Career Academy High School,Neighborhood,HS,2016,FAR BELOW AVERAGE,FAR BELOW AVERAGE,WEAK,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,VERY WEAK,62.6,85.3,84.4,77.9,4.8,6.3,7,7th,14.4,15.7,15.2,12.9,14.6,55.6,73.5,64.4,68.2,71.7,73.5,63.7,69.9,47.4,57.9,"5009 S LAFLIN ST
Chicago, Illinois 60609
(41.802881, -87.662278)"
2,610390,RICKOVER MILITARY HS,Hyman G Rickover Naval Academy High School,Military academy,HS,2016,BELOW AVERAGE,BELOW AVERAGE,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,2.7,10.4,92.9,92.7,0.7,0.5,32,32nd,18.1,18.0,18.1,18.0,18.0,84,73.5,86.3,68.2,87.6,73.5,86.2,69.9,63.3,57.9,"5900 N GLENWOOD AVE
Chicago, Illinois 60660
(41.989021, -87.665789)"
490,609707,ROBESON HS,Paul Robeson High School,Neighborhood,HS,2016,FAR BELOW AVERAGE,FAR BELOW AVERAGE,STRONG,NEUTRAL,VERY STRONG,NEUTRAL,STRONG,WEAK,45.3,21.1,80.2,76.8,15.5,11.7,3,3rd,12.4,14.7,13.7,12.2,13.2,46.2,73.5,33.6,68.2,39.4,73.5,47.3,69.9,46.4,57.9,"6835 S NORMAL BLVD
Chicago, Illinois 60621
(41.769714, -87.637153)"
570,609728,ROOSEVELT HS,Theodore Roosevelt High School,Neighborhood,HS,2016,BELOW AVERAGE,BELOW AVERAGE,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,VERY WEAK,9.7,17.1,86.9,85.3,8.9,8.8,14,14th,15.6,16.5,16.0,14.1,15.5,63.2,73.5,60,68.2,66.9,73.5,62.9,69.9,38,57.9,"3436 W WILSON AVE
Chicago, Illinois 60625
(41.964828, -87.714819)"
311,609729,SCHURZ HS,Carl Schurz High School,Neighborhood,HS,2016,AVERAGE,BELOW AVERAGE,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,15.8,7.5,86.4,85.2,5.8,5.9,19,19th,16.2,17.1,16.8,15.3,16.4,69.4,73.5,63.2,68.2,72.5,73.5,62.6,69.9,50.1,57.9,"3601 N MILWAUKEE AVE
Chicago, Illinois 60641
(41.946365, -87.735612)"
471,609730,SENN HS,Nicholas Senn High School,Neighborhood,HS,2016,AVERAGE,BELOW AVERAGE,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,16.9,18.6,92.2,90.4,3.4,3.6,39,39th,18.3,18.4,18.5,17.9,18.3,83.2,73.5,73.2,68.2,81.3,73.5,72.3,69.9,59.4,57.9,"5900 N GLENWOOD AVE
Chicago, Illinois 60660
(41.989029, -87.667136)"
161,609692,SIMEON HS,Neal F Simeon Career Academy High School,Career academy,HS,2016,BELOW AVERAGE,BELOW AVERAGE,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,26.3,32.1,90,90.6,1.5,0.7,16,16th,15.8,16.1,17.1,15.9,16.2,81.3,73.5,75.7,68.2,80.7,73.5,83.2,69.9,63.2,57.9,"8147 S VINCENNES AVE
Chicago, Illinois 60620
(41.745781, -87.63541)"
84,610383,SOCIAL JUSTICE HS,Greater Lawndale High School For Social Justice,Small,HS,2016,BELOW AVERAGE,BELOW AVERAGE,VERY STRONG,STRONG,STRONG,STRONG,VERY STRONG,WEAK,14.8,10.1,92,90.1,5.3,2.6,13,13th,15.4,16.0,16.0,15.0,15.6,71.6,73.5,81.6,68.2,87.5,73.5,77.8,69.9,56.6,57.9,"3120 S KOSTNER AVE
Chicago, Illinois 60623
(41.833507, -87.735299)"
123,610543,SOLORIO HS,Eric Solorio Academy High School,Neighborhood,HS,2016,AVERAGE,BELOW AVERAGE,STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,3.5,2.9,93.8,94.5,2.6,1.9,38,38th,17.7,19.4,18.6,17.7,18.4,80.3,73.5,76,68.2,80.5,73.5,80.1,69.9,62.2,57.9,"5400 S ST LOUIS AVE
Chicago, Illinois 60632
(41.795201, -87.711059)"
26,609732,STEINMETZ HS,Charles P Steinmetz College Preparatory HS,Neighborhood,HS,2016,BELOW AVERAGE,BELOW AVERAGE,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,VERY WEAK,14.7,15.2,88.3,85.9,5.9,4.2,19,19th,16.1,17.0,17.5,14.7,16.3,69.5,73.5,64.7,68.2,71.3,73.5,67.5,69.9,47.4,57.9,"3030 N MOBILE AVE
Chicago, Illinois 60634
(41.935634, -87.783515)"
46,609733,SULLIVAN HS,Roger C Sullivan High School,Neighborhood,HS,2016,AVERAGE,BELOW AVERAGE,NEUTRAL,STRONG,STRONG,STRONG,NEUTRAL,WEAK,13.8,11.7,89.3,86.9,7.5,5.7,12,12th,14.7,16.2,16.2,13.4,15.1,63,73.5,60.1,68.2,64,73.5,58.7,69.9,51.5,57.9,"6631 N BOSWORTH AVE
Chicago, Illinois 60626
(42.002688, -87.669192)"
226,609734,TAFT HS,William Howard Taft High School,Neighborhood,HS,2016,AVERAGE,AVERAGE,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,5.3,0.9,91,91,7.4,3.2,44,44th,19.4,18.7,19.0,18.8,18.9,84.2,73.5,71.6,68.2,85.2,73.5,80.9,69.9,63,57.9,"6530 W BRYN MAWR AVE
Chicago, Illinois 60631
(41.982961, -87.791547)"
50,610506,TEAM HS,TEAM Englewood Community Academy High School,Small,HS,2016,BELOW AVERAGE,FAR BELOW AVERAGE,VERY WEAK,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,38.9,74.1,87.9,76.2,4.1,6.8,6,6th,14.4,15.1,15.1,12.6,14.3,68.7,73.5,67.8,68.2,73.9,73.5,71.8,69.9,50.7,57.9,"6201 S STEWART AVE
Chicago, Illinois 60621
(41.781485, -87.633019)"
187,609735,TILDEN HS,Edward Tilden Career Community Academy HS,Neighborhood,HS,2016,BELOW AVERAGE,FAR BELOW AVERAGE,WEAK,NEUTRAL,STRONG,STRONG,STRONG,WEAK,63.3,54.7,81,80.8,10,7.9,7,7th,14.8,15.5,14.6,12.9,14.5,52.5,73.5,47.4,68.2,50,73.5,55.3,69.9,31.7,57.9,"4747 S UNION AVE
Chicago, Illinois 60609
(41.80751, -87.642966)"
375,610394,UPLIFT HS,Uplift Community High School,Small,HS,2016,BELOW AVERAGE,BELOW AVERAGE,NEUTRAL,STRONG,STRONG,NEUTRAL,STRONG,WEAK,21.7,30.3,90.2,89.8,1.9,5.1,12,12th,15.2,16.3,16.4,14.3,15.6,57.3,73.5,63.8,68.2,74.3,73.5,80.6,69.9,65.4,57.9,"900 W WILSON AVE
Chicago, Illinois 60640
(41.965547, -87.652473)"
19,609737,VON STEUBEN HS,Friedrich W von Steuben Metropolitan Science HS,Magnet,HS,2016,ABOVE AVERAGE,AVERAGE,VERY STRONG,STRONG,STRONG,STRONG,VERY STRONG,NEUTRAL,3.3,5.2,93.2,93.3,0.8,0.9,68,68th,21.0,21.6,21.1,21.3,21.3,86.6,73.5,81.7,68.2,88.8,73.5,86,69.9,73.4,57.9,"5039 N KIMBALL AVE
Chicago, Illinois 60625
(41.973185, -87.713386)"
151,609739,WASHINGTON HS,George Washington High School,Neighborhood,HS,2016,AVERAGE,BELOW AVERAGE,STRONG,STRONG,STRONG,NEUTRAL,NEUTRAL,WEAK,23.7,19.7,86.7,87,2.8,2.7,30,30th,17.7,17.2,18.0,17.7,17.7,79,73.5,72.3,68.2,72.2,73.5,69.8,69.9,54.9,57.9,"3535 E 114TH ST
Chicago, Illinois 60617
(41.688137, -87.53757)"
277,609740,WELLS HS,Wells Community Academy High School,Neighborhood,HS,2016,BELOW AVERAGE,BELOW AVERAGE,NEUTRAL,NEUTRAL,STRONG,STRONG,STRONG,WEAK,7.8,6.2,89,90.8,6.2,3.8,12,12th,15.3,16.7,15.5,14.0,15.4,72.5,73.5,58.7,68.2,62.9,73.5,56,69.9,51,57.9,"936 N ASHLAND AVE
Chicago, Illinois 60622
(41.898995, -87.667483)"
